ingredients,description,grade,efficacy
"2-아미노-4,5-다이메틸티아졸에이치비알",피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-아미노-4-니트로페놀,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-아미노-5-니트로페놀,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-아미노-6-클로로-4-니트로페놀,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-아미노메틸-p-아미노페놀에이치씨엘,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-아미노부탄올,완충제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-아세토나프톤,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-에틸헥실알,용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"2-올레아미도-1,3,4-옥타데카트라이일프롤리네이트","지루성두피케어, 피지케어, 헤어컨디셔닝제, 피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
2-카프릴로일카프릴로일메틸알라니네이트,"피지케어, 헤어컨디셔닝제, 피부컨디셔닝제, 유연제(연화제), 피부보호. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
2-클로로-p-페닐렌다이아민,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-프로필-5-사이클로헥실펜탄올,"데오도란트, 피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
2-헵틸사이클로펜타논,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"3,4-다이하이드록시벤조익애씨드",피부보호. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"3,4-다이하이드록시벤조일다이펩타이드-49아마이드","보습제(습윤제), 피부컨디셔닝제, 유연제(연화제), 피부보호. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
3-O-세틸아스코빅애씨드,피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
3-O-에틸아스코빅애씨드,"강력한 항산화제로 매우 안정적인 형태의 비타민 C이며, 피부 톤을 개선하고 변색을 사라지게 하는데 도움을 주며, 피부를 눈에 띄게 단단하게 만든다.",훌륭함,"안티에이징, 피부 톤 개선, 다크스팟 개선"
3-글리세릴아스코베이트,"항산화제, 보습제(습윤제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
3-라우릴글리세릴아스코베이트,"항산화제, 보습제(습윤제), 피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
3-메톡시부탄올,용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
3-벤질리덴캠퍼,UV 흡수제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"3-아미노-2,4-다이클로로페놀에치치씨엘",염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
3-아미노프로판설포닉애씨드,"세정제, 계면활성제 - 친수제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
3-아스코빌카보닐다이펩타이드-17,피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
3-에틸아미노-p-크레솔설페이트,헤어컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
3-하이드록시벤조익애씨드,피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
3-헥센올,"착향제, 피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
"4,4'-아이소프로필리덴다이페놀/에피클로로하이드린코폴리머",피막형성제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"4,4'-아이소프로필리덴다이페닐/에피클로로하이드린코폴리머다이아크릴레이트",네일컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-t-부틸벤조익애씨드,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-t-부틸벤즈알데하이드,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-t-부틸사이클로헥산올,피부 연화 및 진정 작용을 하는 지방 알코올 (비자극성).,좋음,효과 없음
4급암모늄화합물,’콰트’라고도 하는 다양한 성분이다. 이 성분은 모발에 강하게 달라붙는 독특한 분자 구조를 가지고 있다.,좋음,효과 없음
4-나이트로-o-페닐렌다이아민다이하이드로클로라이드,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-나이트로-o-페닐렌다이아민에이치씨엘,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-메틸벤즈알데하이드,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"4-메틸벤질4,5-다이아미노피라졸설페이트",염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-부틸레조시놀,항산화제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-아미노-2-나이트로다이페닐아민-2'-카복실릭애씨드,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
